cat,lat,lon,title,description
ao,41.7665,-70.7233,Tremont Nail Company,https://www.atlasobscura.com/places/tremont-nail-company
ao,60.495859,-1.055233,The Old Haa's Inuksuit Collection,https://www.atlasobscura.com/places/the-old-haas-inuksuit-collection
ao,55.997003,-4.215333,Jamie Wright's Well,https://www.atlasobscura.com/places/jamie-wrights-well
ao,58.998762,24.79805,Okta Centrum AS,https://www.atlasobscura.com/places/okta-centrum-as
ao,34.098444,-118.26045,Neutra VDL Studio and Residences,https://www.atlasobscura.com/places/neutra-vdl-studio-and-residences
ao,45.371044,5.904679,Miracle Arch,https://www.atlasobscura.com/places/miracle-arch
ao,45.810386,9.086565,Roman Baths of Como,https://www.atlasobscura.com/places/roman-baths-of-como
ao,34.473535,-118.556483,Tesoro Adobe,https://www.atlasobscura.com/places/tesoro-adobe
ao,52.53043,13.318493,Classic Remise,https://www.atlasobscura.com/places/classic-remise
ao,38.709003,-77.193859,Pohick Church,https://www.atlasobscura.com/places/pohick-church
ao,-33.8837,151.191645,The Lillipad Cafe,https://www.atlasobscura.com/places/lillipad-cafe-sydney
ao,37.331627,-121.893523,The San José Semaphore,https://www.atlasobscura.com/places/the-san-jose-semaphore
ao,42.589787,140.537306,Koboro Station,https://www.atlasobscura.com/places/koboro-station
ao,36.727103,128.843198,Dosan Seowon,https://www.atlasobscura.com/places/dosan-seowon
ao,-35.447208,142.829403,Lake Tyrrell,https://www.atlasobscura.com/places/lake-tyrrell
ao,52.205375,0.119032,'Teleport-o-Matic',https://www.atlasobscura.com/places/teleport-o-matic
ao,27.900558,-97.136198,Seaman's Memorial Tower,https://www.atlasobscura.com/places/seamans-memorial-tower
ao,-32.569359,-69.340242,Las Bóvedas de Uspallata (The Vaults of Uspallata),https://www.atlasobscura.com/places/las-bovedas-de-uspallata-the-vaults-of-uspallata
ao,55.951416,-3.180135,Tolbooth Tavern,https://www.atlasobscura.com/places/tolbooth-tavern
ao,40.0196,-120.95872,Keddie Wye,https://www.atlasobscura.com/places/keddie-wye
