cat,lat,lon,title,description
camping,56.2274,10.1651,Aarhus Camping,"http://www.aarhuscamping.dk/en/ 
 +45 86 23 11 33"
camping,56.1097,10.2335,Blommehaven Camping,"http://www.camping-blommehaven.dk/ 
 +45 86 27 02 07"
camping,44.31313,-68.21303,Blackwoods Campground,"http://www.nps.gov/acad/planyourvisit/blackwoodscampground.htm 
  "
camping,44.23861,-68.30497,Seawall Campground,"http://www.nps.gov/acad/planyourvisit/seawallcampground.htm 
  "
camping,52.538,-8.793,Adare Camping and Caravan Park,"http://www.adarecamping.com/ 
 +353 61 395 376"
camping,44.563666,-123.153514,Albany/Corvallis KOA,"http://koa.com/campgrounds/albany/ 
 +1 541-967-8521"
camping,35.224673,-101.723966,Amarillo KOA,"http://koa.com/campgrounds/amarillo/ 
  "
camping,52.3127,4.9913,Gaasper Camping Amsterdam,"http://www.gaaspercamping.nl/en/camping.html 
  "
camping,33.401419,-111.530307,Mesa / Apache Junction KOA,"http://koa.com/campgrounds/mesa/ 
 +1 480-982-4015"
camping,38.7773,-109.5888,Devils Garden Campground,"https://www.nps.gov/arch/planyourvisit/camping.htm 
  "
camping,45.9325729,10.8932497,Zoo Camping,"http://www.campingzoo.it/ 
 +39 0464 516232"
camping,58.427142,8.7284738,Nidelv Camping,"https://nidelvcamping.no/ 
 +47 911 81 327"
camping,52.0074,5.8714,Camping Warnsborn,"http://www.campingwarnsborn.nl 
 +31 264 42 34 69"
camping,43.78724,142.48866,Asahikawa Mongol camping ground,"http://www.mongoru-mura.com 
 +81 166-37-1113"
camping,38.1051,23.8134,Dionissotis Camping,"http://www.campingdionissotis.gr 
 +30 210 8001496, +30 6977-261615"
camping,38.0999,23.7907,Nea Kifissia Camping,"http://www.camping-neakifissia.gr/ 
 +30 210 8075579"
camping,43.95310204393943,4.799374084977899,Auberge-Camping Bagatelle,"http://www.campingbagatelle.com/ 
  "
camping,-1.39261,-78.42496,Illuchi Camping,"https://m.facebook.com/illuchicamping/ 
 +593 99 982 6006"
camping,52.3389,7.2268,Camping Quendorfer See,"https://camping-schuettorf.de 
 +49 5923 902939"
camping,51.86759,10.04997,DCC Spa Camping Park,"http://www.camping-bad-gandersheim.de 
  "
camping,47.74631,12.89666,Staufeneck Camping,"https://www.camping-staufeneck.de/ 
 +49 8651 2134"
camping,47.703028,-122.509306,Fay Bainbridge Park,"https://biparks.org/fay-bainbridge-park-campground/ 
 +1 206 842-3931"
camping,61.20221,6.53173,Sjøtun Camping,"http://www.sjotun.com/ 
 +47 950 67 261"
camping,61.2159,6.56101,Veganeset Camping,"http://veganesetcamping.wordpress.com/ 
 +47 57 69 16 12"
camping,51.19333,-115.527434,Tunnel Mountain Campgrounds,"https://www.pc.gc.ca/eng/pn-np/ab/banff/activ/camping.aspx 
  "
camping,51.72,-9.449,Eagle Point Camping,"https://www.eaglepointcamping.com/ 
 +353 27 50630"
camping,44.43278,-68.2687,Bar Harbor Campground,"http://www.thebarharborcampground.com/ 
 +1 207 288-5185"
camping,44.41992,-68.33717,Mt Desert Narrows RV Resort & Campground,"  
 +1 207 288-4782"
camping,54.547,-1.962,Barnard Castle Camp Site,"https://www.campingandcaravanningclub.co.uk/ 
 +44 1833 630228"
camping,38.551082,-0.096702,Camping Arena Blanca,"https://www.campingarenablanca.com/en/ 
 +34 965 861 889"
camping,38.5663,-0.09629,Camping Almafá,"http://en.campingalmafra.es/ 
 +34 965 889 075"
camping,38.5501,-0.09953,Camping El Racó,"http://www.campingraco.com/en/ 
 +34 965 868 552"
camping,38.55506,-0.09574,Camping Villamar,"https://www.campingvillamar.com/en/ 
 +34 966 811 255"
camping,38.54589,-0.10708,Camping Villasol,"https://www.camping-villasol.com/en/ 
 +34 965 850 422"
camping,38.5492222,-0.115147,Camping Armanello,"https://www.campingarmanello.com/en/ 
 +34 965 85 31 90"
camping,38.560245,-0.098524,Camping Benisol,"http://www.campingbenisol.com 
 +34965851673"
camping,39.567806,-78.361113,Cox Camping,"http://www.coxcamping.com/ 
 +1 304-258-2267 or +1 301-953-2676"
camping,51.8389,-0.6219,Town Farm Campsite,"http://www.townfarmcamping.co.uk 
 +44 7906 265435 (mobile)"
camping,51.7824,-0.6009,Norcott Campsite,"http://www.chilternscamping.co.uk/ 
 +44 7788 151022 (mobile)"
camping,29.2761,-103.3021,Chisos Basin Campground,"https://www.nps.gov/bibe/planyourvisit/basin_campground.htm 
  "
camping,29.1374,-103.5231,Cottonwood Campground,"https://www.nps.gov/bibe/planyourvisit/cottonwood_campground.htm 
  "
camping,29.1802,-102.9572,Rio Grande Village Campground,"https://www.nps.gov/bibe/planyourvisit/rgv_campground.htm 
  "
camping,36.76374,-84.54756,Alum Ford Campground,"http://www.nps.gov/biso/planyourvisit/alumfordcampground.htm 
  "
camping,36.67762,-84.51854,Blue Heron Campground,"http://www.nps.gov/biso/planyourvisit/blueheroncampground.htm 
 +1 606 376-2611"
camping,36.49218,-84.7012,Bandy Creek Campground,"http://www.nps.gov/biso/planyourvisit/bandycreekcampground.htm 
 +1 423 286-8368"
camping,35.99,-121.4979,Kirk creek campground,"http://www.recreation.gov/camping/kirk-creek-campground/r/campgroundDetails.do?contractCode=NRSO&parkId=71993 
  "
camping,36.2653,-121.8083,Riverside Campground & Cabins,"http://www.riversidecampground.com 
 +1 831-667-2414"
camping,46.361437,14.080532,Camping Bled,"http://www.camping-bled.com/ 
  "
camping,-33.615342,150.353276,Acacia Flat campground,"https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/acacia-flat-campground 
 +61 2 4787 8877"
camping,-33.798913,150.617603,Euroka Campground,"https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/euroka-campground 
 +61 2 9585 6831"
camping,-33.770994,150.463627,Ingar Campground,"https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/ingar-campground 
 +61 2 4787 8877"
camping,-33.768169,150.486154,Murphys Glen Campground,"https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/murphys-glen-campground 
 +61 2 9585 6831"
camping,-33.599381,150.344932,Perrys Lookdown Campground,"https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/perrys-lookdown-campground 
 +61 2 9585 6831"
camping,-34.079856,149.927174,Mount Werong Campground,"https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/mount-werong-campground 
 +61 2 6336 6200"
camping,55.56783,10.0855,Kyst Camping Bogense,"http://www.kystcamping.dk/ 
 +45 64811443"
camping,55.56148,10.08636,Bogense Strand Camping,"https://www.bogensecamping.dk/ 
 +45 64813508"
camping,51.5654,4.6958,Camping Liesbos,"http://www.camping-liesbos.nl 
 +31 76 514 35 14"
camping,47.50448,9.7134,Camping Mexico am Bodensee,"http://www.camping-mexico.at/ 
 +43 5574 73260"
camping,47.50313,9.70898,Camping Weiß,"http://www.campingweiss.at/ 
 +43 664 1325548"
camping,53.5324,8.5766,Reisemobil-Parkplatz Doppelschleuse,"http://www.bremerhaven.de/experience-the-sea/accommodations-camping-more/motor-homes-campers-tents/motor-homes/special-parking-area-for-mobile-homes-doppelschleuse.47985.html 
  "
camping,53.5268,8.5764,Reisemobil-Parkplatz Fischkai,"http://www.bremerhaven.de/experience-the-sea/accommodations-camping-more/motor-homes-campers-tents/motor-homes/special-parking-area-for-mobile-homes-fischkai.47984.html 
 +49 471 7 00 44 75"
